,value
2021-04-11,956.2659770059338
2021-04-12,964.4250753880046
2021-04-13,978.6999998086578
2021-04-14,993.3879746926118
2021-04-15,1072.4265972003448
2021-04-16,1133.980425686064
2021-04-17,1083.1434589560981
2021-04-18,1021.9795049415468
2021-04-19,1010.590285097926
2021-04-20,1013.1448142621265
2021-04-21,974.9589702217172
2021-04-22,925.0613182104621
2021-04-23,899.9489845492303
2021-04-24,854.0531327072742
2021-04-25,862.8033500621755
2021-04-26,975.4390250068977
2021-04-27,1039.930989988899
2021-04-28,1065.1259495020097
2021-04-29,1050.7231723764712
2021-04-30,1102.346070622776
2021-05-01,1137.311726388662
2021-05-02,1114.209442898816
2021-05-03,1157.0807367475527
2021-05-04,1124.1386065505324
2021-05-05,1227.7841433100898
2021-05-06,1191.1973219635204
2021-05-07,1223.1060143091277
2021-05-08,1252.0716431384064
2021-05-09,1238.263404234363
2021-05-10,1142.2470827145148
2021-05-11,1226.4993836046815
2021-05-12,1071.0104349945973
2021-05-13,1110.1017379203904
2021-05-14,1213.8304915765534
2021-05-15,1132.4198629424088
2021-05-16,1145.1461273505347
2021-05-17,1089.330747156661
2021-05-18,1165.4016640664709
2021-05-19,792.2740413451781
2021-05-20,922.4889963932532
2021-05-21,810.0920279383807
2021-05-22,744.7547816681353
2021-05-23,646.7873574012285
2021-05-24,814.1104563512938
2021-05-25,814.467543206568
2021-05-26,909.4102274105256
2021-05-27,860.6354296934817
2021-05-28,773.6145676371639
2021-05-29,742.4231320802654
2021-05-30,774.3667557045437
2021-05-31,836.2917399171097
2021-06-01,836.685012850551
2021-06-02,874.3985494539804
2021-06-03,902.6468279769192
2021-06-04,837.9979581096397
2021-06-05,826.9767735393277
2021-06-06,856.7236760239837
2021-06-07,779.7053777114979
2021-06-08,769.1369571395874
2021-06-09,802.0791017119152
2021-06-10,766.483824454168
2021-06-11,728.7789566099418
2021-06-12,719.217629468885
2021-06-13,757.8805446798427
2021-06-14,778.2666398881038
2021-06-15,785.7922770204622
2021-06-16,753.3271508756054
2021-06-17,750.9906410374649
2021-06-18,703.1398062003616
2021-06-19,692.7942382963815
2021-06-20,699.4865979205256
2021-06-21,545.9083365311884
2021-06-22,536.8460862612792
2021-06-23,593.7237397640508
2021-06-24,613.4591208763245
2021-06-25,559.6045703346837
2021-06-26,570.4328408531915
2021-06-27,602.3578983776529
2021-06-28,615.4566474315086
2021-06-29,645.6537409441858
2021-06-30,657.3368713014872
2021-07-01,631.7731222798918
2021-07-02,648.9231955953708
2021-07-03,666.5932760505802
2021-07-04,689.6232745537875
2021-07-05,665.1433063378163
2021-07-06,707.0052868159282
2021-07-07,736.829858248786
2021-07-08,680.1249950344588
2021-07-09,726.5612378792856
2021-07-10,729.9556246257179
2021-07-11,745.0989713107031
2021-07-12,711.2355808743804
2021-07-13,716.8294752782745
2021-07-14,745.0774097966498
2021-07-15,726.8320288276312
2021-07-16,673.8920949855774
2021-07-17,661.9779542600781
2021-07-18,661.7547471958716
2021-07-19,618.2115164296945
2021-07-20,580.3270860192606
2021-07-21,681.0546312873553
2021-07-22,706.3148936197449
2021-07-23,846.8192021643033
2021-07-24,858.9326421623349
2021-07-25,880.0895462372657
2021-07-26,865.4651973393907
2021-07-27,924.0460079301206
2021-07-28,919.2510148995325
2021-07-29,926.0756360234174
2021-07-30,934.4655302412172
2021-07-31,955.657026926203
2021-08-01,917.975530396001
2021-08-02,935.4364735378315
2021-08-03,912.8335111408412
2021-08-04,971.7777227688491
2021-08-05,983.3480381690038
2021-08-06,995.5112586184907
2021-08-07,1026.3454969141546
2021-08-08,989.4492786944429
2021-08-09,1038.7588355604541
2021-08-10,1198.828979186753
2021-08-11,1248.61393320655
2021-08-12,1245.1807867913099
2021-08-13,1328.2560968941696
2021-08-14,1300.3831112600656
2021-08-15,1332.1455277423152
2021-08-16,1308.2330188019473
2021-08-17,1311.360015156071
2021-08-18,1303.9867608855172
2021-08-19,1370.967936789471
2021-08-20,1416.3106872832109
2021-08-21,1429.2528959343692
2021-08-22,1449.2793405814427
2021-08-23,1476.3345184882796
2021-08-24,1370.677848068222
2021-08-25,1413.4619408350447
2021-08-26,1349.5390586692563
2021-08-27,1442.1637315709427
2021-08-28,1451.7016002402888
2021-08-29,1473.7024865921321
2021-08-30,1428.2673854400825
2021-08-31,1439.6869375569029
2021-09-01,1495.4718829579792
2021-09-02,1503.1672631896795
2021-09-03,1545.0834854883556
2021-09-04,1631.5518019275187
2021-09-05,1664.2281047539798
2021-09-06,1674.1373879056355
2021-09-07,1446.1975574761605
2021-09-08,1478.4686046169318
2021-09-09,1502.8397690190927
2021-09-10,1439.4042535620451
2021-09-11,1489.9492588805492
2021-09-12,1503.0455086135696
2021-09-13,1456.969314943906
2021-09-14,1490.672365129787
2021-09-15,1541.3399703366151
2021-09-16,1550.6825429263597
2021-09-17,1528.8705942847248
2021-09-18,1557.7812703131294
2021-09-19,1496.0160754210747
2021-09-20,1293.3192566645967
2021-09-21,1235.0249742873095
2021-09-22,1423.0140362568582
2021-09-23,1488.9961366262924
2021-09-24,1414.821407827901
2021-09-25,1384.5694645912886
2021-09-26,1374.7378832774336
2021-09-27,1351.144319017219
2021-09-28,1346.2736402503679
2021-09-29,1365.0640172762028
2021-09-30,1449.887574180422
2021-10-01,1767.4246240288387
2021-10-02,1772.0979880300322
2021-10-03,1993.0064921199128
2021-10-04,1958.5412972557453
2021-10-05,1933.4581895181236
2021-10-06,1894.9736261025942
2021-10-07,1881.4485124465036
2021-10-08,1906.6969481171227
2021-10-09,1932.9668499520549
2021-10-10,1803.479147082227
2021-10-11,1803.7028605152734
2021-10-12,1836.6041491765975
2021-10-13,1850.8661402566481
2021-10-14,1969.7793761957118
2021-10-15,1924.0665111265032
2021-10-16,1919.045943019263
2021-10-17,1908.1558777298555
2021-10-18,1894.0457258139531
2021-10-19,1897.1291067200045
2021-10-20,1994.976034392742
2021-10-21,1933.0860657916423
2021-10-22,2011.6139184757787
2021-10-23,2002.64342687677
2021-10-24,1974.005793408623
2021-10-25,2074.6056226438463
